C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-01-42-928.load
Comment s7vw
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.950	827.500	43.030	0.000	870.530	0.950	9.500	0.000	0.000	9.500	0.950		
0.960	824.190	39.720	0.000	863.910	0.960	14.250	1.900	0.000	16.150	0.960		
0.970	824.190	36.410	0.000	860.600	0.970	24.700	4.750	0.000	29.450	0.970		
0.980	824.190	29.790	0.000	853.980	0.980	37.050	6.650	0.000	43.700	0.980		
0.990	824.190	29.790	0.000	853.980	0.990	57.000	9.500	0.000	66.500	0.990		
1.000	824.190	23.170	0.000	847.360	1.000	92.150	12.350	0.000	104.500	1.000		
1.010	820.880	19.860	0.000	840.740	1.010	129.200	14.250	0.000	143.450	1.010		
1.020	812.500	13.000	0.000	825.500	1.020	167.200	21.850	0.000	189.050	1.020		
1.030	799.500	9.750	0.000	809.250	1.030	202.350	29.450	0.000	231.800	1.030		
1.040	783.250	9.750	0.000	793.000	1.040	237.500	44.650	0.000	282.150	1.040		
1.050	760.500	6.500	0.000	767.000	1.050	255.960	58.460	0.000	314.420	1.050		
1.060	734.500	3.250	0.000	737.750	1.060	259.120	77.420	0.000	336.540	1.060		
1.070	695.500	0.000	0.000	695.500	1.070	263.860	91.640	11.060	366.560	1.070		
1.080	637.000	0.000	0.000	637.000	1.080	271.760	107.440	26.860	406.060	1.080		
1.090	568.750	0.000	0.000	568.750	1.090	276.500	124.820	44.240	445.560	1.090		
1.100	497.250	0.000	0.000	497.250	1.100	289.140	139.040	58.460	486.640	1.100		
1.110	419.250	0.000	0.000	419.250	1.110	304.940	159.580	77.420	541.940	1.110		
1.120	341.250	0.000	0.000	341.250	1.120	323.900	181.700	94.800	600.400	1.120		
1.130	266.500	0.000	0.000	266.500	1.130	344.440	206.980	112.180	663.600	1.130		
1.140	195.000	0.000	0.000	195.000	1.140	364.980	225.940	124.820	715.740	1.140		
1.150	143.000	0.000	0.000	143.000	1.150	376.040	246.480	139.040	761.560	1.150		
1.160	104.000	0.000	0.000	104.000	1.160	387.100	263.860	151.680	802.640	1.160		
1.170	67.500	0.000	0.000	67.500	1.170	391.840	276.500	161.160	829.500	1.170		
1.180	37.260	0.000	0.000	37.260	1.180	395.000	284.400	173.800	853.200	1.180		
1.190	19.980	0.000	0.000	19.980	1.190	391.840	285.980	181.700	859.520	1.190		
1.200	14.850	0.000	0.000	14.850	1.200	387.500	289.850	189.100	866.450	1.200		
1.210	9.990	0.000	0.000	9.990	1.210	376.650	286.750	196.850	860.250	1.210		
1.220	7.290	0.000	0.000	7.290	1.220	367.350	283.650	201.500	852.500	1.220		
1.230	4.860	0.000	0.000	4.860	1.230	351.850	282.100	209.250	843.200	1.230		
