timestamp, HMD_x, HMD_y,HMD_z
496.189,10,-37.2496,1.7498,-1.3338
496.200,10,-37.2409,1.7506,-1.3366
496.211,10,-37.2324,1.7516,-1.3392
496.222,10,-37.2240,1.7526,-1.3418
496.233,10,-37.2157,1.7535,-1.3444
496.244,10,-37.2073,1.7544,-1.3470
496.255,10,-37.1988,1.7557,-1.3495
496.266,10,-37.1904,1.7569,-1.3518
496.277,10,-37.1821,1.7580,-1.3541
496.288,10,-37.1738,1.7586,-1.3562
496.299,10,-37.1655,1.7591,-1.3582
496.310,10,-37.1573,1.7596,-1.3601
496.321,10,-37.1492,1.7602,-1.3618
496.333,10,-37.1410,1.7611,-1.3633
496.343,10,-37.1329,1.7619,-1.3648
496.354,10,-37.1250,1.7628,-1.3660
496.366,10,-37.1169,1.7638,-1.3672
496.377,10,-37.1088,1.7649,-1.3682
496.388,10,-37.1008,1.7661,-1.3692
496.399,10,-37.0928,1.7673,-1.3701
496.411,10,-37.0848,1.7686,-1.3709
496.422,10,-37.0768,1.7696,-1.3717
496.433,10,-37.0686,1.7706,-1.3725
496.444,10,-37.0606,1.7712,-1.3733
496.455,10,-37.0526,1.7718,-1.3740
496.467,10,-37.0447,1.7722,-1.3746
496.478,10,-37.0366,1.7724,-1.3752
496.489,10,-37.0285,1.7725,-1.3759
496.500,10,-37.0206,1.7724,-1.3765
496.511,10,-37.0125,1.7721,-1.3771
496.523,10,-37.0044,1.7718,-1.3776
496.534,10,-36.9965,1.7713,-1.3782
496.545,10,-36.9884,1.7708,-1.3787
496.556,10,-36.9803,1.7701,-1.3792
496.567,10,-36.9722,1.7695,-1.3796
496.578,10,-36.9640,1.7687,-1.3800
496.589,10,-36.9558,1.7678,-1.3804
496.600,10,-36.9475,1.7667,-1.3807
496.611,10,-36.9392,1.7657,-1.3809
496.622,10,-36.9308,1.7645,-1.3812
496.633,10,-36.9225,1.7633,-1.3814
496.644,10,-36.9142,1.7620,-1.3815
496.656,10,-36.9058,1.7604,-1.3817
496.667,10,-36.8974,1.7588,-1.3818
496.678,10,-36.8890,1.7572,-1.3818
496.689,10,-36.8806,1.7556,-1.3819
496.700,10,-36.8722,1.7541,-1.3818
496.711,10,-36.8638,1.7527,-1.3817
496.722,10,-36.8553,1.7514,-1.3816
496.733,10,-36.8467,1.7502,-1.3814
496.745,10,-36.8381,1.7492,-1.3813
496.756,10,-36.8294,1.7485,-1.3810
496.767,10,-36.8208,1.7480,-1.3806
496.778,10,-36.8121,1.7477,-1.3803
496.789,10,-36.8033,1.7477,-1.3799
496.800,10,-36.7944,1.7481,-1.3795
496.811,10,-36.7855,1.7492,-1.3790
496.822,10,-36.7766,1.7501,-1.3785
496.833,10,-36.7678,1.7512,-1.3781
496.844,10,-36.7589,1.7526,-1.3777
496.856,10,-36.7500,1.7544,-1.3773
496.867,10,-36.7413,1.7561,-1.3769
496.877,10,-36.7326,1.7575,-1.3766
496.888,10,-36.7239,1.7586,-1.3764
496.899,10,-36.7152,1.7595,-1.3761
496.911,10,-36.7066,1.7601,-1.3760
496.922,10,-36.6982,1.7607,-1.3760
496.933,10,-36.6900,1.7612,-1.3760
496.945,10,-36.6817,1.7618,-1.3763
496.955,10,-36.6735,1.7626,-1.3764
496.967,10,-36.6654,1.7636,-1.3767
496.978,10,-36.6574,1.7646,-1.3772
496.989,10,-36.6495,1.7655,-1.3776
497.000,10,-36.6415,1.7665,-1.3780
497.011,10,-36.6336,1.7674,-1.3785
497.023,10,-36.6257,1.7685,-1.3790
497.034,10,-36.6177,1.7697,-1.3796
497.045,10,-36.6098,1.7706,-1.3802
497.056,10,-36.6020,1.7714,-1.3809
497.068,10,-36.5943,1.7720,-1.3817
497.079,10,-36.5866,1.7726,-1.3825
497.090,10,-36.5791,1.7729,-1.3833
497.101,10,-36.5714,1.7732,-1.3842
497.112,10,-36.5637,1.7732,-1.3851
497.123,10,-36.5560,1.7730,-1.3861
497.134,10,-36.5483,1.7727,-1.3871
497.145,10,-36.5406,1.7724,-1.3881
497.156,10,-36.5329,1.7720,-1.3892
497.167,10,-36.5253,1.7714,-1.3903
497.178,10,-36.5175,1.7709,-1.3915
