timestamp, HMD_x, HMD_y,HMD_z
159.035,10,-35.4907,1.8633,-1.2958
159.047,10,-35.4852,1.8626,-1.2979
159.058,10,-35.4798,1.8619,-1.3003
159.069,10,-35.4743,1.8615,-1.3025
159.080,10,-35.4689,1.8612,-1.3048
159.091,10,-35.4634,1.8612,-1.3072
159.102,10,-35.4578,1.8619,-1.3097
159.114,10,-35.4523,1.8631,-1.3121
159.125,10,-35.4467,1.8643,-1.3145
159.136,10,-35.4413,1.8653,-1.3170
159.147,10,-35.4359,1.8660,-1.3197
159.158,10,-35.4307,1.8666,-1.3222
159.169,10,-35.4254,1.8670,-1.3246
159.180,10,-35.4202,1.8676,-1.3269
159.191,10,-35.4151,1.8683,-1.3290
159.202,10,-35.4100,1.8690,-1.3313
159.214,10,-35.4051,1.8694,-1.3333
159.225,10,-35.4001,1.8696,-1.3353
159.236,10,-35.3951,1.8697,-1.3372
159.247,10,-35.3903,1.8694,-1.3389
159.258,10,-35.3853,1.8692,-1.3404
159.269,10,-35.3805,1.8689,-1.3421
159.280,10,-35.3758,1.8683,-1.3435
159.292,10,-35.3713,1.8680,-1.3448
159.303,10,-35.3671,1.8678,-1.3459
159.314,10,-35.3628,1.8677,-1.3469
159.325,10,-35.3587,1.8677,-1.3478
159.336,10,-35.3545,1.8677,-1.3485
159.348,10,-35.3505,1.8676,-1.3492
159.359,10,-35.3469,1.8677,-1.3499
159.370,10,-35.3434,1.8679,-1.3503
159.380,10,-35.3398,1.8682,-1.3507
159.392,10,-35.3365,1.8687,-1.3510
159.403,10,-35.3333,1.8692,-1.3515
159.414,10,-35.3302,1.8696,-1.3517
159.425,10,-35.3273,1.8699,-1.3519
159.437,10,-35.3243,1.8701,-1.3518
159.447,10,-35.3217,1.8704,-1.3518
159.459,10,-35.3189,1.8707,-1.3517
159.470,10,-35.3164,1.8710,-1.3515
159.481,10,-35.3140,1.8711,-1.3513
159.492,10,-35.3116,1.8714,-1.3510
159.503,10,-35.3094,1.8716,-1.3505
159.514,10,-35.3072,1.8717,-1.3500
159.525,10,-35.3052,1.8717,-1.3496
159.536,10,-35.3032,1.8718,-1.3487
159.547,10,-35.3013,1.8717,-1.3480
159.558,10,-35.2996,1.8714,-1.3472
159.569,10,-35.2980,1.8711,-1.3465
159.581,10,-35.2965,1.8708,-1.3455
159.591,10,-35.2953,1.8704,-1.3446
159.603,10,-35.2942,1.8701,-1.3435
159.614,10,-35.2933,1.8700,-1.3425
159.625,10,-35.2924,1.8702,-1.3413
159.636,10,-35.2914,1.8707,-1.3400
159.647,10,-35.2906,1.8712,-1.3389
159.659,10,-35.2900,1.8716,-1.3374
159.669,10,-35.2897,1.8720,-1.3362
159.680,10,-35.2891,1.8724,-1.3347
159.692,10,-35.2888,1.8729,-1.3332
159.703,10,-35.2884,1.8733,-1.3317
159.714,10,-35.2881,1.8736,-1.3303
159.725,10,-35.2880,1.8739,-1.3291
159.736,10,-35.2877,1.8740,-1.3277
159.748,10,-35.2875,1.8741,-1.3263
159.759,10,-35.2874,1.8741,-1.3249
159.770,10,-35.2873,1.8742,-1.3239
159.781,10,-35.2872,1.8742,-1.3227
159.791,10,-35.2871,1.8743,-1.3217
159.803,10,-35.2870,1.8743,-1.3205
159.814,10,-35.2869,1.8743,-1.3192
159.825,10,-35.2867,1.8742,-1.3180
159.836,10,-35.2866,1.8742,-1.3169
159.847,10,-35.2866,1.8741,-1.3160
159.858,10,-35.2865,1.8741,-1.3151
159.869,10,-35.2864,1.8740,-1.3141
159.880,10,-35.2863,1.8741,-1.3132
159.891,10,-35.2862,1.8740,-1.3123
159.902,10,-35.2862,1.8739,-1.3114
159.913,10,-35.2862,1.8738,-1.3106
159.924,10,-35.2862,1.8738,-1.3098
159.936,10,-35.2862,1.8738,-1.3091
159.947,10,-35.2862,1.8737,-1.3085
159.958,10,-35.2863,1.8737,-1.3078
159.969,10,-35.2864,1.8737,-1.3072
